Plant.code,Family,Genus,Species,Photo.path,Funct.grp
ALIN,Nyctaginaceae,Allionia,incarnata,C4,forb
ALMA4,Liliaceae,Allium,macropetalum,C3,forb
AMAL,Amaranthaceae,Amaranthus,albus,C4,forb
AMPA,Amaranthaceae,Amaranthus,palmeri,C4,forb
APRAH,Asteraceae,Aphanostephus,ramosissimus,C3,forb
ARAD,Poaceae,Aristida,adscensionis,C4,grass
ARPU,Poaceae,Aristida,purpurea,C4,grass
ASFE2,Fabaceae,Astragalus,missouriensis,C3,forb
ASTRA,Fabaceae,Astragalus,NA,C3,forb
ATCA2,Chenopodiaceae,Atriplex,canescens,C4,shrub
BADI,Asteraceae,Bahia,dissecta,C3,forb
BOBA2,Poaceae,Bouteloua,barbata,C4,grass
BOER4,Poaceae,Bouteloua,eriopoda,C4,grass
BOGR,Poaceae,Bouteloua,gracilis,C4,grass
BOSP,Nyctaginaceae,Boerhavia,spicata,C4,forb
CHAL11,Euphorbiaceae,Chamaesyce,albomarginata,C4,forb
CHCO,Solanaceae,Chamaesaracha,coniodes,C3,forb
CHCO2,Solanaceae,Chamaesaracha,coronopus,C3,forb
CHER2,Asteraceae,Chaetopappa,ericoides,C3,forb
CHIN2,Chenopodiaceae,Chenopodium,incanum,C3,forb
CHLA10,Euphorbiaceae,Chamaesyce,lata,C4,forb
CHRE4,Euphorbiaceae,Chamaesyce,revoluta,C4,forb
CHSE7,Euphorbiaceae,Chamaesyce,serrula,C4,forb
CHSES,Euphorbiaceae,Chamaesyce,serpyllifolia,C4,forb
CRCR3,Boraginaceae,Cryptantha,crassisepala,C3,forb
CYACF,Apiaceae,Cymopterus,acaulis,C3,forb
CYIMI,Cactaceae,Cylindropuntia,imbricata,CAM,shrub
DANAN,Fabaceae,Dalea,nana,C3,forb
DAPU7,Poaceae,Dasyochloa,pulchella,C4,grass
DEPI,Brassicaceae,Descurainia,pinnata,C3,forb
DEWO,Ranunculaceae,Delphinium,wootonii,C3,forb
ECFEF3,Cactaceae,Echinocereus,fendleri,CAM,shrub
ECIN2,Cactaceae,Ecinomastus,intertextus,CAM,shrub
EMPTY,UNK,UNK,NA,UNK,UNK
ENDE,Poaceae,Enneapogon,desvauxii,C4,grass
EPTO,Ephedraceae,Ephedra,torreyana,C3,shrub
ERAB2,Polygonaceae,Eriogonum,abertianum,C3,forb
ERAD2,UNK,UNK,NA,UNK,UNK
ERDI4,Asteraceae,Erigeron,divergens,C3,forb
ERRO2,Polygonaceae,Eriogonum,rotundifolium,C3,forb
ERTE13,Geraniaceae,Erodium,texanum,C3,forb
ESVIV,Cactaceae,Escobaria,vivipara,CAM,shrub
EUEX4,Euphorbiaceae,Euphorbia,exstipulata,C3,forb
GAPI,Asteraceae,Gaillardia,pinnatifida,C3,forb
GLBI2,Verbenaceae,Glandularia,bipinnatifida,C3,forb
GLWR,Verbenaceae,Glandularia,bipinnatifida,C3,forb
GRCL,Cactaceae,Grusonia,clavata,CAM,shrub
GUSA2,Asteraceae,Gutierrezia,sarothrae,C3,shrub
GUSP,Asteraceae,Gutierrezia,sphaerocephala,C3,forb
HODR,Fabaceae,Hoffmannseggia,drepanocarpa,C3,forb
HYFIC,Asteraceae,Hymenopappus,filifolius,C3,forb
IPPU4,Polemoniaceae,Ipomopsis,pumila,C3,forb
KAPA,Zygophyllaceae,Kallstroemia,parviflora,C4,forb
KRLA2,Chenopodiaceae,Krascheninnikovia,lanata,C3,shrub
LAOCO,Boraginaceae,Lappula,occidentalis,C3,forb
LATR2,Zygophyllaceae,Larrea,tridentata,C3,shrub
LEDE,Brassicaceae,Lepidium,densiflorum,C3,forb
LEFE,Brassicaceae,Lesquerella,fendleri,C3,forb
LIIN2,Boraginaceae,Lithospermum,incisum,C3,forb
LIPU4,Linaceae,Linum,puberulum,C3,forb
LOPL2,Fabaceae,Lotus,plebeius,C3,forb
MACA2,Asteraceae,Machaeranthera,canescens,C3,forb
MAFE,Asteraceae,Malacothrix,fendleri,C3,forb
MAGR10,Asteraceae,Machaeranthera,gracilis,C3,forb
MAPIP,Asteraceae,Machaeranthera,pinnatifida,C3,forb
MATA2,Asteraceae,Machaeranthera,tanacetifolia,C3,forb
MELE2,Asteraceae,Melampodium,leucanthum,C3,forb
MILI3,Nyctaginaceae,Mirabilis,linearis,C3,forb
MUAR2,Poaceae,Muhlenbergia,arenicola,C4,grass
MUSQ3,Poaceae,Munroa,squarrosa,C4,grass
NAHI,Hydrophyllaceae,Nama,hispidum,C3,forb
OECA10,Onagraceae,Oenothera,caespitosa,C3,forb
OESU3,Onagraceae,Oenothera,suffrutescens,C3,forb
OPPH,Cactaceae,Opuntia,phaeacantha,CAM,shrub
PEAN,Asteraceae,Pectis,angustifolia,C4,forb
PHACE,Hydrophyllaceae,Phacelia,NA,C3,forb
PHCR,Hydrophyllaceae,Phacelia,crenulata,C3,forb
PLJA,Poaceae,Pleuraphis,jamesii,C4,grass
PLPA2,Plantaginaceae,Plantago,patagonica,C3,forb
POOL,Portulacaceae,Portulaca,oleracea,C4,forb
PSTAT,Asteraceae,Psilostrophe,tagetina,C3,forb
SATR12,Chenopodiaceae,Salsola,tragus,C4,forb
SCBR2,Poaceae,Scleropogon,brevifolius,C4,grass
SCPA10,Cactaceae,Sclerocactus,papyracanthus,CAM,shrub
SEBA3,Fabaceae,Senna,bauhinioides,C3,forb
SEDI3,Nyctaginaceae,Selinocarpus,diffusus,C3,shrub
SEFLF,Asteraceae,Senecio,flaccidus,C3,forb
SOEL,Solanaceae,Solanum,elaeagnifolium,C3,forb
SPCO4,Poaceae,Sporobolus,contractus,C4,grass
SPCR,Poaceae,Sporobolus,cryptandrus,C4,grass
SPFL2,Poaceae,Sporobolus,flexuosus,C4,grass
SPHA,Malvaceae,Sphaeralcea,hastulata,C3,forb
SPORO,Poaceae,Sporobolus,NA,C4,grass
SPPO6,Malvaceae,Sphaeralcea,polychroma,C3,forb
STPA4,Asteraceae,Stephanomeria,pauciflora,C3,forb
TILA2,Amaranthaceae,Tidestromia,lanuginosa,C4,forb
TOAN,Asteraceae,Townsendia,annua,C3,forb
TRRA,Poaceae,Tragus,racemosus,C3,grass
UNKNOWN,UNK,UNK,NA,UNK,UNK
YUGL,Agavaceae,Yucca,glauca,CAM,shrub
ZIGR,Asteraceae,Zinnia,grandiflora,C3,shrub
ANGE,Poaceae,Andropogon,gerardii,C4,grass
BOCU,Poaceae,Bouteloua,curtipendula,C4,grass
BOHI,Poaceae,Bouteloua,hirsuta,C4,grass
BUDA,Poaceae,Buchloe,dactyloides,C4,grass
CAREX,Cyperaceae,Carex,sp.,C3,sedge
FORB,UNK,UNK,UNK,UNK,forb
PASM,Poaceae,Pascopyrum,smithii,C3,grass
SCSC,Poaceae,Schizachyrium,scoparium,C3,grass
SONU,Poaceae,Sorghastrum,nutans,C3,grass
SPAS,Poaceae,Sporobolus,asper,C4,grass
STCO,Poaceae,Stipa,comata,C3,grass
WOODY,UNK,UNK,UNK,UNK,shrub
C3,Poaceae,UNK,UNK,C3,grass
C4,Poaceae,UNK,UNK,C4,grass
